checking_acc,duration_mnth,credit_hist,purpose,credit_amt,savings_acc,emp_status,installment_rate,pstatus_sex,guarantor,Residence_LOS,property,age,installment_plan,housing,existing_credit,job,dependents,telephone,foreign_worker,credit
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,1295,Less than 100 DM,Less than a year,3,female_divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee,1,none,yes,good
Less than 0 DM,48,Existing credits paid back duly,business,4308,Less than 100 DM,Less than a year,3,female_divorced/separated/married,none,4,BSSA or life insurance,24,none,rent,1,skilled employee,1,none,yes,good
Btw 0 to 199 DM,12,Existing credits paid back duly,radio/television,1567,Less than 100 DM,Btw 1 to 4 years,1,female_divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,24,Critical account,new car,1199,Less than 100 DM,Greater than 7 years,4,male_single,none,4,car or other,60,none,own,2,unskilled - resident,1,none,yes,good
Less than 0 DM,15,Existing credits paid back duly,new car,1403,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,none,yes,bad
Less than 0 DM,24,Existing credits paid back duly,radio/television,1282,Btw 100 to 499 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,good
none,24,Critical account,radio/television,2424,none,Greater than 7 years,4,male_single,none,4,BSSA or life insurance,53,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,30,No credits taken,business,8072,none,Less than a year,2,male_single,none,3,car or other,25,bank,own,3,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Existing credits paid back duly,used car,12579,Less than 100 DM,Greater than 7 years,4,female_divorced/separated/married,none,2,none,44,none,free,1,self-employed/management employee,1,registered,yes,good
none,24,Existing credits paid back duly,radio/television,3430,Btw 500 to 999 DM,Greater than 7 years,3,male_single,none,2,car or other,31,none,own,1,skilled employee,2,registered,yes,bad
none,9,Critical account,new car,2134,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,4,car or other,48,none,own,3,skilled employee,1,registered,yes,bad
Less than 0 DM,6,Existing credits paid back duly,radio/television,2647,Btw 500 to 999 DM,Btw 1 to 4 years,2,male_single,none,3,real estate,44,none,rent,1,skilled employee,2,none,yes,bad
Less than 0 DM,10,Critical account,new car,2241,Less than 100 DM,Less than a year,1,male_single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,bad
Btw 0 to 199 DM,12,Critical account,used car,1804,Btw 100 to 499 DM,Less than a year,3,male_single,none,4,BSSA or life insurance,44,none,own,1,skilled employee,1,none,yes,bad
none,10,Critical account,furniture/equipment,2069,none,Btw 1 to 4 years,2,male_married/widowed,none,1,car or other,26,none,own,2,skilled employee,1,none,no,bad
Less than 0 DM,6,Existing credits paid back duly,furniture/equipment,1374,Less than 100 DM,Btw 1 to 4 years,1,male_single,none,2,real estate,36,bank,own,1,unskilled - resident,1,registered,yes,bad
none,6,No credits taken,radio/television,426,Less than 100 DM,Greater than 7 years,4,male_married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,none,yes,bad
Equal or Greater than 200 DM,12,All credits taken paid back duly,radio/television,409,Equal or Greater than 1000 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,7,Existing credits paid back duly,radio/television,2415,Less than 100 DM,Btw 1 to 4 years,3,male_single,guarantor,2,real estate,34,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,60,Delays in paying off,business,6836,Less than 100 DM,Greater than 7 years,3,male_single,none,4,none,63,none,own,2,skilled employee,1,registered,yes,good
Btw 0 to 199 DM,18,Existing credits paid back duly,business,1913,Equal or Greater than 1000 DM,Less than a year,3,male_married/widowed,none,3,real estate,36,bank,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,24,Existing credits paid back duly,furniture/equipment,4020,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,27,stores,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,new car,5866,Btw 100 to 499 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,30,none,own,2,skilled employee,1,registered,yes,bad
none,12,Critical account,business,1264,none,Greater than 7 years,4,male_single,none,4,none,57,none,rent,1,unskilled - resident,1,none,yes,bad
Equal or Greater than 200 DM,12,Existing credits paid back duly,furniture/equipment,1474,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,1,BSSA or life insurance,33,bank,own,1,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,45,Critical account,radio/television,4746,Less than 100 DM,Less than a year,4,male_single,none,2,BSSA or life insurance,25,none,own,2,unskilled - resident,1,none,yes,good
none,48,Critical account,education,6110,Less than 100 DM,Btw 1 to 4 years,1,male_single,none,3,none,31,bank,free,1,skilled employee,1,registered,yes,bad
Equal or Greater than 200 DM,18,Existing credits paid back duly,radio/television,2100,Less than 100 DM,Btw 1 to 4 years,4,male_single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,none,yes,good
Equal or Greater than 200 DM,10,Existing credits paid back duly,domestic appliances,1225,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,37,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,9,Existing credits paid back duly,radio/television,458,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,3,real estate,24,none,own,1,skilled employee,1,none,yes,bad
none,30,Existing credits paid back duly,radio/television,2333,Btw 500 to 999 DM,Greater than 7 years,4,male_single,none,2,car or other,30,bank,own,1,self-employed/management employee,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,radio/television,1158,Btw 500 to 999 DM,Btw 1 to 4 years,3,male_divorced/separated,none,1,car or other,26,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Delays in paying off,repairs,6204,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,4,real estate,44,none,own,1,unskilled - resident,2,registered,yes,bad
Less than 0 DM,30,Critical account,used car,6187,Btw 100 to 499 DM,Btw 4 to 7 years,1,male_married/widowed,none,4,car or other,24,none,rent,2,skilled employee,1,none,yes,bad
Less than 0 DM,48,Critical account,used car,6143,Less than 100 DM,Greater than 7 years,4,female_divorced/separated/married,none,4,none,58,stores,free,2,unskilled - resident,1,none,yes,good
none,11,Critical account,new car,1393,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,4,car or other,35,none,own,2,self-employed/management employee,1,none,yes,bad
none,36,Existing credits paid back duly,radio/television,2299,Btw 500 to 999 DM,Greater than 7 years,4,male_single,none,4,car or other,39,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,6,Existing credits paid back duly,used car,1352,Btw 500 to 999 DM,unemployed,1,female_divorced/separated/married,none,2,BSSA or life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,registered,yes,bad
none,11,Critical account,new car,7228,Less than 100 DM,Btw 1 to 4 years,1,male_single,none,4,BSSA or life insurance,39,none,own,2,unskilled - resident,1,none,yes,bad
none,12,Existing credits paid back duly,radio/television,2073,Btw 100 to 499 DM,Btw 1 to 4 years,4,female_divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Delays in paying off,furniture/equipment,2333,none,Less than a year,4,male_single,none,2,BSSA or life insurance,29,bank,own,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,27,Delays in paying off,used car,5965,Less than 100 DM,Greater than 7 years,1,male_single,none,2,car or other,30,none,own,2,self-employed/management employee,1,registered,yes,bad
none,12,Existing credits paid back duly,radio/television,1262,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,2,car or other,25,none,own,1,skilled employee,1,none,yes,bad
none,18,Existing credits paid back duly,used car,3378,none,Btw 1 to 4 years,2,male_single,none,1,BSSA or life insurance,31,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,36,Delays in paying off,new car,2225,Less than 100 DM,Greater than 7 years,4,male_single,none,4,none,57,bank,free,2,skilled employee,1,registered,yes,good
none,6,All credits taken paid back duly,new car,783,none,Btw 1 to 4 years,1,male_single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,radio/television,6468,none,unemployed,2,male_single,none,1,none,52,none,own,1,self-employed/management employee,1,registered,yes,good
none,36,Critical account,radio/television,9566,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee,1,none,yes,bad
Equal or Greater than 200 DM,18,Existing credits paid back duly,new car,1961,Less than 100 DM,Greater than 7 years,3,female_divorced/separated/married,none,2,car or other,23,none,own,1,self-employed/management employee,1,none,yes,bad
Less than 0 DM,36,Critical account,furniture/equipment,6229,Less than 100 DM,Less than a year,4,female_divorced/separated/married,co-applicant,4,none,23,none,rent,2,unskilled - resident,1,registered,yes,good
Btw 0 to 199 DM,9,Existing credits paid back duly,business,1391,Less than 100 DM,Btw 1 to 4 years,2,male_married/widowed,none,1,real estate,27,bank,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,15,Critical account,radio/television,1537,none,Greater than 7 years,4,male_single,guarantor,4,real estate,50,none,own,2,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,36,No credits taken,business,1953,Less than 100 DM,Greater than 7 years,4,male_single,none,4,none,61,none,free,1,self-employed/management employee,1,registered,yes,good
Btw 0 to 199 DM,48,No credits taken,business,14421,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,25,none,own,1,skilled employee,1,registered,yes,good
none,24,Existing credits paid back duly,radio/television,3181,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,4,BSSA or life insurance,26,none,own,1,skilled employee,1,registered,yes,bad
none,27,Existing credits paid back duly,repairs,5190,none,Greater than 7 years,4,male_single,none,4,BSSA or life insurance,48,none,own,4,skilled employee,2,registered,yes,bad
none,12,Existing credits paid back duly,radio/television,2171,Less than 100 DM,Less than a year,2,female_divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,1007,Equal or Greater than 1000 DM,Btw 1 to 4 years,4,male_married/widowed,none,1,real estate,22,none,own,1,skilled employee,1,none,yes,bad
none,36,Existing credits paid back duly,education,1819,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,4,none,37,stores,free,1,skilled employee,1,registered,yes,good
none,36,Existing credits paid back duly,radio/television,2394,none,Btw 1 to 4 years,4,female_divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee,1,none,yes,bad
none,36,Existing credits paid back duly,used car,8133,Less than 100 DM,Btw 1 to 4 years,1,female_divorced/separated/married,none,2,BSSA or life insurance,30,bank,own,1,skilled employee,1,none,yes,bad
none,7,Critical account,radio/television,730,none,Greater than 7 years,4,male_single,none,2,BSSA or life insurance,46,none,rent,2,unskilled - resident,1,registered,yes,bad
Less than 0 DM,8,Critical account,others,1164,Less than 100 DM,Greater than 7 years,3,male_single,none,4,none,51,bank,free,2,self-employed/management employee,2,registered,yes,bad
Btw 0 to 199 DM,42,Critical account,business,5954,Less than 100 DM,Btw 4 to 7 years,2,female_divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,bad
Less than 0 DM,36,Existing credits paid back duly,education,1977,none,Greater than 7 years,4,male_single,none,4,none,40,none,own,1,self-employed/management employee,1,registered,yes,good
Less than 0 DM,12,Critical account,used car,1526,Less than 100 DM,Greater than 7 years,4,male_single,none,4,none,66,none,free,2,self-employed/management employee,1,none,yes,bad
Less than 0 DM,42,Existing credits paid back duly,radio/television,3965,Less than 100 DM,Less than a year,4,male_single,none,3,car or other,34,none,own,1,skilled employee,1,none,yes,good
Btw 0 to 199 DM,11,Delays in paying off,radio/television,4771,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,4,BSSA or life insurance,51,none,own,1,skilled employee,1,none,yes,bad
none,54,No credits taken,used car,9436,none,Btw 1 to 4 years,2,male_single,none,2,BSSA or life insurance,39,none,own,1,unskilled - resident,2,none,yes,bad
Btw 0 to 199 DM,30,Existing credits paid back duly,furniture/equipment,3832,Less than 100 DM,Less than a year,2,male_married/widowed,none,1,BSSA or life insurance,22,none,own,1,skilled employee,1,none,yes,bad
none,24,Existing credits paid back duly,radio/television,5943,none,Less than a year,1,female_divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee,1,registered,yes,good
none,15,Existing credits paid back duly,radio/television,1213,Btw 500 to 999 DM,Greater than 7 years,4,male_single,none,3,BSSA or life insurance,47,stores,own,1,skilled employee,1,registered,yes,bad
none,18,Existing credits paid back duly,business,1568,Btw 100 to 499 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,4,BSSA or life insurance,24,none,rent,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,24,Existing credits paid back duly,others,1755,Less than 100 DM,Greater than 7 years,4,female_divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,registered,yes,bad
Less than 0 DM,10,Existing credits paid back duly,radio/television,2315,Less than 100 DM,Greater than 7 years,3,male_single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,bad
none,12,Critical account,business,1412,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,guarantor,2,real estate,29,none,own,2,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Critical account,furniture/equipment,1295,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,1,BSSA or life insurance,27,none,own,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,education,12612,Btw 100 to 499 DM,Btw 1 to 4 years,1,male_single,none,4,none,47,none,free,1,skilled employee,2,registered,yes,good
Less than 0 DM,18,Existing credits paid back duly,new car,2249,Btw 100 to 499 DM,Btw 4 to 7 years,4,male_single,none,3,car or other,30,none,own,1,self-employed/management employee,2,registered,yes,bad
Less than 0 DM,12,No credits taken,repairs,1108,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,3,real estate,28,none,own,2,skilled employee,1,none,yes,good
none,12,Critical account,radio/television,618,Less than 100 DM,Greater than 7 years,4,male_single,none,4,real estate,56,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,12,Critical account,used car,1409,Less than 100 DM,Greater than 7 years,4,male_single,none,3,real estate,54,none,own,1,skilled employee,1,none,yes,bad
none,12,Critical account,radio/television,797,none,Greater than 7 years,4,female_divorced/separated/married,none,3,BSSA or life insurance,33,bank,own,1,unskilled - resident,2,none,yes,good
Equal or Greater than 200 DM,24,Critical account,furniture/equipment,3617,none,Greater than 7 years,4,male_single,co-applicant,4,none,20,none,rent,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,1318,Equal or Greater than 1000 DM,Greater than 7 years,4,male_single,none,4,real estate,54,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,54,No credits taken,business,15945,Less than 100 DM,Less than a year,3,male_single,none,4,none,58,none,rent,1,skilled employee,1,registered,yes,good
none,12,Critical account,education,2012,none,Btw 4 to 7 years,4,female_divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,business,2622,Btw 100 to 499 DM,Btw 1 to 4 years,4,male_single,none,4,car or other,34,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,36,Critical account,radio/television,2337,Less than 100 DM,Greater than 7 years,4,male_single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,20,Delays in paying off,used car,7057,none,Btw 4 to 7 years,3,male_single,none,4,BSSA or life insurance,36,bank,rent,2,self-employed/management employee,2,registered,yes,bad
none,24,Existing credits paid back duly,new car,1469,Btw 100 to 499 DM,Greater than 7 years,4,male_married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,radio/television,2323,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,4,car or other,24,none,rent,1,skilled employee,1,none,yes,bad
none,6,Delays in paying off,radio/television,932,Less than 100 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,9,Critical account,furniture/equipment,1919,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,3,car or other,35,none,rent,1,skilled employee,1,registered,yes,bad
none,12,Existing credits paid back duly,used car,2445,none,Less than a year,2,male_married/widowed,none,4,car or other,26,none,rent,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,24,Critical account,others,11938,Less than 100 DM,Btw 1 to 4 years,2,male_single,co-applicant,3,car or other,39,none,own,2,self-employed/management employee,2,registered,yes,good
none,18,All credits taken paid back duly,new car,6458,Less than 100 DM,Greater than 7 years,2,male_single,none,4,none,39,bank,own,2,self-employed/management employee,2,registered,yes,good
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,6078,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,2,car or other,32,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,24,Existing credits paid back duly,furniture/equipment,7721,none,Less than a year,1,female_divorced/separated/married,none,2,BSSA or life insurance,30,none,own,1,skilled employee,1,registered,no,bad
Btw 0 to 199 DM,14,Existing credits paid back duly,business,1410,Btw 500 to 999 DM,Greater than 7 years,1,male_married/widowed,none,2,real estate,35,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,6,Delays in paying off,business,1449,Btw 100 to 499 DM,Greater than 7 years,1,male_divorced/separated,none,2,car or other,31,bank,own,2,skilled employee,2,none,yes,bad
Equal or Greater than 200 DM,15,Existing credits paid back duly,education,392,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,4,BSSA or life insurance,23,none,rent,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,new car,6260,Less than 100 DM,Btw 4 to 7 years,3,male_single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,bad
none,36,Critical account,new car,7855,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee,1,registered,yes,good
Less than 0 DM,12,Existing credits paid back duly,radio/television,1680,Btw 500 to 999 DM,Greater than 7 years,3,male_married/widowed,none,1,real estate,35,none,own,1,skilled employee,1,none,yes,bad
none,48,Critical account,radio/television,3578,none,Greater than 7 years,4,male_single,none,1,real estate,47,none,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,42,Existing credits paid back duly,radio/television,7174,none,Btw 4 to 7 years,4,female_divorced/separated/married,none,3,car or other,30,none,own,1,self-employed/management employee,1,registered,yes,good
Less than 0 DM,10,Critical account,furniture/equipment,2132,none,Less than a year,2,female_divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,none,no,bad
Less than 0 DM,33,Critical account,furniture/equipment,4281,Btw 500 to 999 DM,Btw 1 to 4 years,1,female_divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee,1,none,yes,good
Btw 0 to 199 DM,12,Critical account,new car,2366,Btw 500 to 999 DM,Btw 4 to 7 years,3,male_divorced/separated,none,3,car or other,36,none,own,1,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,21,Existing credits paid back duly,radio/television,1835,Less than 100 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee,1,registered,yes,good
none,24,Critical account,used car,3868,Less than 100 DM,Greater than 7 years,4,female_divorced/separated/married,none,2,car or other,41,none,rent,2,self-employed/management employee,1,registered,yes,bad
none,12,Existing credits paid back duly,furniture/equipment,1768,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,bad
Equal or Greater than 200 DM,10,Critical account,new car,781,Less than 100 DM,Greater than 7 years,4,male_single,none,4,none,63,none,free,2,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,furniture/equipment,1924,none,Less than a year,4,female_divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee,1,none,yes,good
Less than 0 DM,12,Critical account,new car,2121,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,BSSA or life insurance,30,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,12,Existing credits paid back duly,radio/television,701,Less than 100 DM,Btw 1 to 4 years,4,male_married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,repairs,639,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes,good
Btw 0 to 199 DM,12,Critical account,used car,1860,Less than 100 DM,unemployed,4,male_single,none,2,car or other,34,none,own,2,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,12,Critical account,new car,3499,Less than 100 DM,Btw 1 to 4 years,3,female_divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee,1,none,yes,good
Btw 0 to 199 DM,48,Existing credits paid back duly,new car,8487,none,Btw 4 to 7 years,1,female_divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,36,Delays in paying off,education,6887,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,3,BSSA or life insurance,29,stores,own,1,skilled employee,1,registered,yes,good
none,15,Existing credits paid back duly,furniture/equipment,2708,Less than 100 DM,Less than a year,2,male_single,none,3,BSSA or life insurance,27,bank,own,2,unskilled - resident,1,none,yes,bad
none,18,Existing credits paid back duly,furniture/equipment,1984,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,4,none,47,bank,free,2,skilled employee,1,none,yes,bad
none,60,Existing credits paid back duly,radio/television,10144,Btw 100 to 499 DM,Btw 4 to 7 years,2,female_divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee,1,registered,yes,bad
none,12,Critical account,radio/television,1240,none,Greater than 7 years,4,female_divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee,1,registered,yes,bad
none,27,Delays in paying off,used car,8613,Equal or Greater than 1000 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,27,none,own,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,radio/television,766,Btw 500 to 999 DM,Btw 1 to 4 years,4,male_single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,good
Btw 0 to 199 DM,15,Critical account,radio/television,2728,none,Btw 4 to 7 years,4,male_single,guarantor,2,real estate,35,bank,own,3,skilled employee,1,registered,yes,bad
Equal or Greater than 200 DM,12,Existing credits paid back duly,radio/television,1881,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled - resident,1,registered,yes,bad
Equal or Greater than 200 DM,6,Existing credits paid back duly,new car,709,Equal or Greater than 1000 DM,Less than a year,2,male_married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,none,no,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,radio/television,4795,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,1,none,30,none,own,1,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,27,Existing credits paid back duly,radio/television,3416,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,2,car or other,27,none,own,1,self-employed/management employee,1,none,yes,bad
Less than 0 DM,18,Existing credits paid back duly,furniture/equipment,2462,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,22,none,own,1,skilled employee,1,none,yes,good
none,21,Critical account,furniture/equipment,2288,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,4,BSSA or life insurance,23,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,48,All credits taken paid back duly,business,3566,Btw 100 to 499 DM,Btw 4 to 7 years,4,male_single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,6,Critical account,new car,860,Less than 100 DM,Greater than 7 years,1,female_divorced/separated/married,none,4,none,39,none,own,2,skilled employee,1,registered,yes,bad
none,12,Critical account,new car,682,Btw 100 to 499 DM,Btw 4 to 7 years,4,female_divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee,1,registered,yes,bad
Less than 0 DM,36,Critical account,furniture/equipment,5371,Less than 100 DM,Btw 1 to 4 years,3,male_single,guarantor,2,BSSA or life insurance,28,none,own,2,skilled employee,1,none,yes,bad
none,18,Critical account,radio/television,1582,Equal or Greater than 1000 DM,Greater than 7 years,4,male_single,none,4,car or other,46,none,own,2,skilled employee,1,none,yes,bad
none,6,Existing credits paid back duly,radio/television,1346,Btw 100 to 499 DM,Greater than 7 years,2,male_single,none,4,none,42,bank,free,1,skilled employee,2,registered,yes,bad
none,10,Existing credits paid back duly,radio/television,1924,Less than 100 DM,Btw 1 to 4 years,1,male_single,none,4,BSSA or life insurance,38,none,own,1,skilled employee,1,registered,no,bad
Equal or Greater than 200 DM,36,Existing credits paid back duly,radio/television,5848,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,1,car or other,24,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Critical account,used car,7758,Equal or Greater than 1000 DM,Greater than 7 years,2,female_divorced/separated/married,none,4,none,29,none,rent,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Delays in paying off,business,6967,Btw 100 to 499 DM,Btw 4 to 7 years,4,male_single,none,4,car or other,36,none,rent,1,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,1282,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,good
